0,403.383035,255.0,100.916114,52.351653,no_abatement
1,458.728627,238.0,103.157530,56.400617,no_abatement
2,178.618973,241.0,730.164372,5667.686001,no_abatement
3,1560.596326,241.0,981.533129,121.785698,no_abatement
4,425.879524,251.0,204.956697,10.181731,no_abatement
5,116.197642,244.0,753.956382,5762.037785,no_abatement
6,1001.440821,248.0,709.490834,238.131157,no_abatement
7,835.095947,243.0,147.982113,81.306286,no_abatement
8,381.448853,253.0,152.909151,35.809495,no_abatement
9,256.373992,256.0,28.348513,36.372723,no_abatement
10,226.461200,251.0,1615.044906,41679.933345,no_abatement
11,358.700725,255.0,19.808889,43.912867,no_abatement
12,220.543057,227.0,637.460971,3162.423609,no_abatement
13,1363.068168,256.0,1147.039952,530.414538,no_abatement
14,326.013239,241.0,772.870374,4089.251992,no_abatement
15,166.468614,235.0,4939.170808,126918.166825,no_abatement
16,248.279824,256.0,567.075423,2156.495360,no_abatement
17,137.379472,230.0,698.327990,5320.769442,no_abatement
18,120.314829,231.0,7714.348461,163051.545038,no_abatement
19,56.680932,239.0,5428.706420,54852.955246,no_abatement
20,383.534829,255.0,740.578383,4416.685071,no_abatement
21,632.969260,221.0,372.025776,60.063922,no_abatement
22,524.092726,253.0,795.891211,1979.637591,no_abatement
23,111.292073,253.0,1808.360324,25200.477407,no_abatement
24,322.742481,241.0,4776.382800,246841.039589,no_abatement
25,497.122342,252.0,89.075817,60.030747,no_abatement
26,1379.282991,258.0,851.820777,134.211243,no_abatement
27,206.403084,213.0,752.976086,4624.073082,no_abatement
28,997.523894,252.0,607.290625,70.981576,no_abatement
29,1338.139536,254.0,1070.339298,252.520942,no_abatement
30,92.556857,253.0,4751.107631,77990.449694,no_abatement
31,107.802998,245.0,753.981457,6140.073141,no_abatement
32,1194.399714,232.0,775.320718,43.519375,no_abatement
33,1617.826677,229.0,748.940015,161.407189,no_abatement
34,63.846875,238.0,2612.742040,21685.898729,no_abatement
35,259.825634,261.0,2039.909891,72664.533276,no_abatement
36,500.678414,236.0,321.722301,75.909181,no_abatement
37,462.572990,259.0,1018.563191,10565.410762,no_abatement
38,658.221901,256.0,972.421078,2845.582044,no_abatement
39,1371.018063,241.0,1838.837678,4485.678187,no_abatement
40,399.794137,232.0,181.606453,25.438721,no_abatement
41,1295.774753,250.0,831.312439,43.045075,no_abatement
42,299.270842,241.0,2.361123,38.802393,no_abatement
43,66.644882,254.0,1971.206427,18643.088024,no_abatement
44,1199.658439,250.0,1480.601911,2760.044419,no_abatement
45,96.720353,248.0,775.201044,5898.179018,no_abatement
46,277.516943,247.0,3490.323714,149940.903761,no_abatement
47,2209.812801,238.0,1548.361880,12.255839,no_abatement
48,133.117602,223.0,996.595164,9233.968438,no_abatement
49,1053.453759,232.0,1508.603944,5855.598920,no_abatement
50,357.644090,239.0,94.850119,46.864308,no_abatement
51,87.403715,254.0,5756.192290,96290.880533,no_abatement
52,933.346109,256.0,736.235394,397.690160,no_abatement
53,328.659780,243.0,1750.152354,53788.243988,no_abatement
54,592.092110,239.0,204.588450,64.568658,no_abatement
55,3542.770014,253.0,3081.412771,1035.000319,no_abatement
56,148.026480,233.0,1188.749528,13565.628194,no_abatement
57,1126.485439,256.0,548.391157,98.343012,no_abatement
58,172.347178,249.0,545.210559,3097.953645,no_abatement
59,527.033408,230.0,750.759900,1472.101530,no_abatement
60,274.650820,259.0,109.911207,31.337387,no_abatement
61,612.746168,255.0,950.019534,4766.413492,no_abatement
62,17723.847262,257.0,18353.155000,21491.055206,no_abatement
63,121.267426,244.0,1271.062958,13825.173293,no_abatement
64,2521.655402,242.0,2236.969775,1307.673891,no_abatement
65,1389.493898,257.0,1779.557052,9096.889210,no_abatement
66,338.572741,243.0,47.887437,45.086623,no_abatement
67,9781.261183,255.0,10008.124362,11099.470777,no_abatement
68,1279.966476,255.0,718.339009,129.141625,no_abatement
69,222.054309,240.0,515.609187,2231.705509,no_abatement
70,374.213323,253.0,81.298374,46.658954,no_abatement
71,2785.217848,246.0,721.093228,215.912955,no_abatement
72,2958.398867,252.0,1351.593380,237.266891,no_abatement
73,1540.986964,235.0,621.189313,154.156460,no_abatement
74,235.739751,242.0,803.496725,8270.076593,no_abatement
75,891.827118,238.0,247.054059,91.787143,no_abatement
76,957.551426,230.0,224.214809,95.442714,no_abatement
77,386.281195,230.0,202.915403,0.327538,no_abatement
78,2171.079270,249.0,2591.009412,4570.278886,no_abatement
79,515.634148,246.0,1467.330587,47225.589390,no_abatement
80,131.442200,241.0,3447.716866,64176.422169,no_abatement
81,288.460120,238.0,126.510966,16.591011,no_abatement
82,254.781201,254.0,79.897201,33.350091,no_abatement
83,386.956210,253.0,117.380771,51.097820,no_abatement
84,230.706169,248.0,706.608695,5919.227753,no_abatement
85,10837.466716,248.0,10541.846924,9401.510407,no_abatement
86,3239.575715,232.0,2917.809974,2190.987558,no_abatement
87,144.417649,252.0,1738.195502,27633.881197,no_abatement
88,1407.380276,246.0,332.927155,134.079664,no_abatement
89,1470.707980,222.0,1697.071225,2418.205713,no_abatement
90,206.026110,241.0,1293.513369,26396.895272,no_abatement
91,72.561780,240.0,3681.138603,41061.919123,no_abatement
92,320.974346,245.0,70.398620,43.821864,no_abatement
93,64.547626,252.0,2302.907911,23234.293593,no_abatement
94,414.468028,250.0,241.395874,30.263096,no_abatement
95,1555.810898,245.0,1759.585145,2372.323404,no_abatement
96,782.100039,250.0,337.986276,87.870220,no_abatement
97,1060.036713,242.0,441.247102,114.066038,no_abatement
98,276.488404,236.0,28.311487,38.506337,no_abatement
99,6653.780664,234.0,6372.539927,5602.542266,no_abatement
